CUB-(2)							
	s^σ	s^(τ-2)*(P≥s)					
log_2^(s)		0.049705	0.049706	0.049707	0.049708	0.049709	0.04971
0	1	1	1	1	1	1	1
1	1.368124953	0.837183197	0.837157062	0.837171912	0.837196618	0.837119326	0.837203914
2	1.871765887	0.749033322	0.74905106	0.749141014	0.749172375	0.749133369	0.749166397
3	2.560809617	0.698800089	0.69882565	0.698881701	0.698947241	0.698954943	0.698938817
4	3.503507537	0.669147308	0.669124779	0.66923643	0.669283957	0.669301544	0.66924883
5	4.793236085	0.651307143	0.651367315	0.651494029	0.651555048	0.651609226	0.651529175
6	6.557745895	0.640720515	0.640785184	0.640888778	0.641007745	0.641092306	0.641107229
7	8.971815795	0.634436389	0.634595276	0.634726641	0.634839757	0.634946968	0.635086075
8	12.27456506	0.630875877	0.631052876	0.631293851	0.631316261	0.63151304	0.631675249
9	16.79313875	0.628887702	0.629098245	0.629354168	0.629499052	0.629721243	0.630221508
10	22.97511217	0.627718781	0.628042601	0.628376305	0.628513674	0.628898196	0.629523451
11	31.43282426	0.627044882	0.627549861	0.627860312	0.628101292	0.628665598	0.629261291
12	43.00403122	0.626545077	0.627239586	0.627652566	0.628002262	0.628724148	0.62942732
13	58.8348882	0.626063331	0.626852035	0.62750598	0.627931528	0.628861098	0.629816684
14	80.49347866	0.625391491	0.626422935	0.627295323	0.627952248	0.629099168	0.629917826
15	110.1251367	0.624448995	0.625807125	0.627000529	0.628061594	0.629382198	0.630277348
16	150.6649475	0.623110112	0.62497776	0.626577447	0.628068817	0.629763398	0.631041553
							
f(s)=s^(τ-2)*(P≥s)		g(s)=s^σ			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))	
					0.049705	-3.30264E-05	
					0.049706	-0.015416396	
					0.049707	-1.04362E-05	
					0.049708	1.7817E-07	
					0.049709	9.40311E-06	
					0.04971	1.88507E-05	
							
							
CUB-(4)							
	s^σ	s^(τ-2)*(P≥s)					
log_2^(s)		0.008951	0.008952	0.008953	0.008954	0.008955	0.008956
0	1	1	1	1	1	1	1
1	1.368124953	0.765870199	0.765879782	0.76623021	0.766123998	0.76632686	0.766303956
2	1.871765887	0.627891114	0.627798354	0.628080361	0.628141327	0.628254562	0.628421313
3	2.560809617	0.53834308	0.538094224	0.53854458	0.538758937	0.538852202	0.539087095
4	3.503507537	0.4771101	0.476721639	0.477441829	0.477456887	0.477833612	0.478235405
5	4.793236085	0.434832508	0.434719198	0.435276569	0.435266851	0.435877438	0.436051092
6	6.557745895	0.406081404	0.40609722	0.406679276	0.406817262	0.407386383	0.407825823
7	8.971815795	0.387131093	0.387382011	0.388079519	0.388302312	0.38893013	0.389389009
8	12.27456506	0.375370701	0.37555599	0.376489622	0.376863057	0.377555802	0.378090755
9	16.79313875	0.368405063	0.368711418	0.369817694	0.370143643	0.37106833	0.371880116
10	22.97511217	0.364315128	0.364865701	0.365999634	0.366628585	0.367691132920461	0.368534078
11	31.43282426	0.361532829	0.362479424	0.36378014	0.364672248	0.366312034	0.367285426
12	43.00403122	0.359418661	0.360692899	0.362447106	0.363843569	0.365805708	0.367186345
13	58.8348882	0.357228324	0.359105266	0.361255765	0.363466892	0.365919154	0.367771425
14	80.49347866	0.354690324	0.357148063	0.360319775	0.363340323	0.366401926	0.368960131
15	110.1251367	0.351135749	0.354518342	0.358779539	0.362671556	0.367102179	0.371091034
16	150.6649475	0.345877427	0.350812254	0.356627109	0.36179768	0.367836865	0.37344492
							
f(s)=s^(τ-2)*(P≥s)		g(s)=s^σ			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))	
					0.008951	-0.000129708	
