FCC-1										
	s^σ	s^(τ-2)*(P≥s)								
log_2^(s)		0.199	0.1991	0.1992	0.1993	0.1994				
0	1	1	1	1	1	1				
1	1.368124953	1.060598511	1.060524891	1.06051729	1.060778918	1.061085871				
2	1.871765887	1.108797672	1.108953013	1.109113509	1.109597196	1.110037586				
3	2.560809617	1.140467876	1.141276805	1.141635832	1.142286103	1.143214291				
4	3.503507537	1.160325305	1.161500208	1.162349494	1.163327279	1.165121719				
5	4.793236085	1.171554028	1.172911427	1.175081525	1.176138699	1.178756874				
6	6.557745895	1.17650532	1.179378729	1.182276987	1.184212037	1.187676952				
7	8.971815795	1.177744589	1.181662284	1.186504812	1.189278099	1.193864976				
8	12.27456506	1.176433326	1.181800679	1.188156064	1.192238201	1.199007441				
9	16.79313875	1.171983837	1.17986916	1.188050397	1.194836664	1.203957381				
10	22.97511217	1.165030379	1.175878247	1.187688633	1.197227135	1.209719008				
11	31.43282426	1.153925927	1.169943556	1.186231319	1.200373643	1.216909008				
12	43.00403122	1.13937624	1.161372511	1.184618484	1.204448803	1.227231646				
13	58.8348882	1.119612296	1.150054231	1.181163519	1.209745682	1.24102382				
14	80.49347866	1.092532983	1.135137702	1.177740344	1.216768301	1.259603556				
15	110.1251367	1.056077096	1.113693932	1.172428219	1.226549232	1.28497755				
16	150.6649475	1.006008426	1.084555325	1.164464744	1.24037942	1.319831987				
										
f(s)=s^(τ-2)*(P≥s)		g(s)=s^σ			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.199	-0.001235049				
					0.1991	-0.026752846				
					0.1992	-0.000196436				
					0.1993	0.000341151				
					0.1994	0.000859758				
										
FCC-2										
	s^σ	s^(τ-2)*(P≥s)								
log_2^(s)		0.3111	0.3112	0.3113	0.3114	0.3115	0.3116	0.3117	0.3118	0.3119
0	1	1	1	1	1	1	1	1	1	1
1	1.368124953	1.018232837	1.018403237	1.018397828	1.018589581	1.018573161	1.018692085	1.018746941	1.018925585	1.019098193
