CUB-(2)								
	s^σ	s^(τ-2)*(P≥s)						
log_2^(s)		0.09761	0.09762	0.09763	0.09764	0.09765	0.09766	
0	1	1	1	1	1	1	1	
1	1.368124953	1.060944958	1.061173429	1.061381017	1.061213226	1.061219611	1.061332888	
2	1.871765887	1.106966901	1.107373328	1.107248237	1.107151843	1.107313119	1.107420388	
3	2.560809617	1.139934284	1.140518775	1.1402239	1.140389398	1.14060864	1.140980965	
4	3.503507537	1.161863396	1.162526109	1.162409473	1.162575706	1.162902729	1.163317614	
5	4.793236085	1.1755055	1.176411379	1.1765537	1.176922809	1.177116771	1.177777545	
6	6.557745895	1.183862618	1.184881081	1.185223659	1.185700757	1.186155212	1.186919325	
7	8.971815795	1.188681354	1.189510787	1.190127344	1.19094081	1.19142874	1.192430898	
8	12.27456506	1.1907402	1.191497296	1.192723484	1.194221206	1.194744763	1.195970977	
9	16.79313875	1.191283581	1.192153244	1.193768187	1.195774321	1.196890027	1.198444556	
10	22.97511217	1.19023251	1.191467543	1.19385713	1.196370385	1.19773583	1.20026527	
11	31.43282426	1.187912755	1.189801525	1.19307847	1.196412855	1.198735356	1.201633158	
12	43.00403122	1.184471398	1.187607978	1.191536811	1.195625644	1.199611185	1.204104507	
13	58.8348882	1.178939125	1.18382583	1.189879918	1.194537083	1.200316263	1.206571814	
14	80.49347866	1.171597808	1.178134297	1.186479454	1.193428186	1.201177996	1.209211139	
15	110.1251367	1.161293601	1.171443979	1.181832264	1.192114591	1.202989702	1.213586013	
16	150.6649475	1.147108128	1.161624361	1.175989704	1.18998336	1.205420319	1.219486177	
								
f(s)=s^(τ-2)*(P≥s)		g(s)=s^σ			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))		
					0.09761	-0.000349915		
					0.09762	-0.028653917		
					0.09763	-0.000144119		
					0.09764	-5.25713E-05		
					0.09765	5.99563E-05		
					0.09766	0.00014554		
								
CUB-(4)								
	s^σ	s^(τ-2)*(P≥s)						
log_2^(s)		0.02101	0.02102	0.02103	0.02104	0.02105	0.02106	
0	1	1	1	1	1	1	1	
1	1.368124953	1.058181261	1.058321719	1.05825049	1.058369864	1.05839772	1.058627531	
2	1.871765887	1.102700659	1.102802785	1.103237249	1.103287074	1.103528097	1.103769625	
3	2.560809617	1.135237909	1.13551994	1.136275663	1.136402546	1.136945755	1.137526229	
4	3.503507537	1.157134528	1.157830127	1.158781344	1.159519569	1.160326365	1.161023711	
5	4.793236085	1.170572396	1.171766066	1.173568753	1.174616925	1.175978156	1.177040486	
6	6.557745895	1.177996067	1.180046539	1.18242486	1.184215999	1.1865209	1.188012625	
7	8.971815795	1.181103557	1.183937585	1.187492493	1.190443207	1.193778941	1.196427749	
8	12.27456506	1.180909541	1.184862767	1.189634989	1.194463112	1.198800715	1.202821368	
9	16.79313875	1.177675011	1.18340635	1.190152704	1.196903674	1.203154713	1.208916517	
10	22.97511217	1.171748408	1.179834726	1.18932374	1.19903998	1.207641162	1.215625816	
11	31.43282426	1.162611596	1.174362401	1.18728299	1.20043234	1.21300116	1.224357811	
12	43.00403122	1.149603894	1.166307233	1.184228572	1.202542342	1.219623548	1.236332145	
13	58.8348882	1.131394381	1.15480683	1.179746427	1.204705857	1.228876297	1.252050814	
14	80.49347866	1.105661105	1.139357236	1.173538073	1.207858659	1.240830939	1.274064463	
15	110.1251367	1.071072831	1.117504421	1.164198466	1.211864847	1.258265581	1.303668778	
16	150.6649475	1.024672001	1.087277505	1.151966505	1.216802129	1.281314727	1.344334496	
								
f(s)=s^(τ-2)*(P≥s)		g(s)=s^σ			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))		
					0.02101	-0.001144574		
					0.02102	-0.026819995		
					0.02103	-0.000301727		
					0.02104	0.000121789		
					0.02105	0.000568556		
					0.02106	0.001003106		
								
CUB-(6)								
	s^σ	s^(τ-2)*(P≥s)						
log_2^(s)		0.007631	0.007632	0.007633	0.007634	0.007635	0.00763	
0	1	1	1	1	1	1	1	
1	1.368124953	1.05684974	1.0569102	1.057214046	1.057122652	1.057127646	1.057092541	
2	1.871765887	1.101332182	1.101200479	1.10150764	1.101610908	1.101847227	1.101464116	
3	2.560809617	1.13448439	1.134134176	1.134582426	1.134813574	1.135108865	1.134403186	
4	3.503507537	1.157200761	1.156972936	1.15744342	1.157667017	1.158387712	1.156939128	
5	4.793236085	1.172299537	1.17220255	1.172793056	1.17242346	1.173892739	1.171490823	
