BCC-1										
	s^σ	s^(τ-2)*(P≥s)								
log_2^(s)		0.2457	0.2458	0.2459	0.246	0.2461	0.2462			
0	1	1	1	1	1	1	1			
1	1.368124953	1.02058919	1.020764331	1.020765644	1.020716805	1.02117936	1.021201597			
2	1.871765887	1.074352305	1.074453209	1.074535356	1.074560391	1.075381269	1.075543607			
3	2.560809617	1.107924388	1.108310258	1.108761265	1.108851399	1.110151522	1.110329758			
4	3.503507537	1.130051309	1.130803065	1.131549771	1.132128659	1.133833726	1.134475733			
5	4.793236085	1.143789871	1.145053282	1.146460588	1.14735159	1.149729895	1.15092708			
6	6.557745895	1.151588977	1.153614425	1.155559973	1.157085995	1.160340359	1.162297439			
7	8.971815795	1.154659094	1.15786221	1.160639939	1.163053723	1.167514838	1.170774195			
8	12.27456506	1.154489127	1.159375248	1.162924657	1.166844256	1.172880626	1.177222109			
9	16.79313875	1.151348022	1.158036343	1.163744077	1.169458229	1.177495677	1.183613156			
10	22.97511217	1.145338965	1.154809876	1.162929117	1.171371423	1.182282287	1.191315322			
11	31.43282426	1.13599811	1.149426372	1.161538521	1.173364601	1.187498249	1.200340391			
12	43.00403122	1.123462356	1.141728134	1.158869323	1.175782162	1.193972474	1.212336552			
13	58.8348882	1.106270933	1.130454254	1.154778737	1.177840534	1.203722443	1.228320465			
14	80.49347866	1.082143156	1.115879087	1.149090558	1.181073183	1.216388972	1.250557503			
15	110.1251367	1.04928261	1.095261476	1.141625893	1.186286916	1.233476873	1.279853817			
16	150.6649475	1.004615834	1.067101838	1.130303936	1.192801186	1.257368356	1.321002175			
										
f(s)=s^(τ-2)*(P≥s)		g(s)=s^σ			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.2457	-0.0011018				
					0.2458	-0.026322319				
					0.2459	-0.00027928				
					0.246	0.000160688				
					0.2461	0.000589334				
					0.2462	0.001015011				
										
BCC-2										
	s^σ	s^(τ-2)*(P≥s)								
log_2^(s)		0.3114	0.3115	0.3116	0.3117	0.3118				
0	1	1	1	1	1	1				
1	1.368124953	1.018533465	1.01867813	1.018427886	1.018722789	1.018829877				
2	1.871765887	1.061204455	1.061665825	1.0615161	1.061842382	1.062354016				
3	2.560809617	1.094359599	1.094937936	1.095223148	1.09552039	1.096356849				
4	3.503507537	1.116534744	1.117434776	1.118145414	1.11838321	1.119589732				
5	4.793236085	1.130586346	1.132000432	1.133012249	1.134099925	1.13537692				
6	6.557745895	1.138956864	1.140693552	1.142497543	1.14403602	1.145715164				
7	8.971815795	1.142915645	1.145671915	1.148013288	1.150637798	1.152837364				
8	12.27456506	1.143888786	1.148004414	1.15114729	1.155122354	1.158437763				
9	16.79313875	1.142624773	1.148281873	1.152714129	1.158261815	1.163039777				
10	22.97511217	1.138786541	1.146944347	1.153632397	1.160691564	1.168094387				
11	31.43282426	1.132777243	1.143755167	1.153939754	1.163990069	1.173789312				
12	43.00403122	1.124610855	1.139342601	1.153824947	1.167695619	1.182039085				
13	58.8348882	1.112772748	1.133596886	1.153053743	1.1730605	1.193006123				
14	80.49347866	1.096631561	1.124643831	1.152164872	1.180043165	1.207583937				
15	110.1251367	1.074672805	1.113303272	1.151297204	1.189033279	1.228055138				
16	150.6649475	1.045032316	1.098072118	1.149398942	1.202274276	1.255128475				
										
f(s)=s^(τ-2)*(P≥s)		g(s)=s^σ			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.3114	-0.000731145				
					0.3115	-0.027086266				
					0.3116	-4.68246E-05				
					0.3117	0.000326617				
					0.3118	0.000667821				
										
BCC-12										
	s^σ	s^(τ-2)*(P≥s)								
log_2^(s)		0.1757	0.1758	0.1759	0.176	0.1761	0.1762			
0	1	1	1	1	1	1	1			
1	1.368124953	1.063760384	1.063963964	1.064085569	1.064151336	1.0643782	1.064445005			
2	1.871765887	1.111435345	1.11187695	1.111956014	1.112395809	1.112842502	1.113098019			
3	2.560809617	1.1433506	1.144115832	1.144326415	1.145216548	1.146069391	1.14657867			
4	3.503507537	1.163150524	1.164533756	1.16528856	1.166544954	1.16802597	1.169003726			
5	4.793236085	1.174416332	1.176408141	1.177875006	1.179718419	1.182134601	1.183725146			
6	6.557745895	1.17940092	1.182546574	1.184957147	1.188110197	1.191388763	1.19416432			
7	8.971815795	1.180251957	1.184829241	1.188350064	1.193285271	1.197902836	1.2023407			
8	12.27456506	1.177842191	1.1840023	1.189635144	1.19669337	1.203023314	1.209218189			
9	16.79313875	1.172394731	1.181320667	1.18979957	1.199159494	1.208469777	1.21691325			
10	22.97511217	1.163804343	1.177191278	1.189016271	1.201894271	1.21465594	1.226816006			
11	31.43282426	1.152159376	1.17045782	1.187475685	1.204726464	1.222661729	1.240375683			
12	43.00403122	1.135882104	1.160493146	1.184578123	1.208679067	1.233307539	1.257741074			
13	58.8348882	1.113009892	1.147455328	1.179994928	1.213417267	1.247469517	1.280991749			
14	80.49347866	1.08264238	1.129067313	1.174467363	1.2206313	1.266835682	1.313370505			
15	110.1251367	1.040866229	1.103705287	1.166692868	1.23038201	1.293452843	1.358444286			
16	150.6649475	0.984234952	1.069717902	1.156423048	1.24429338	1.330737656	1.418937744			
										
f(s)=s^(τ-2)*(P≥s)		g(s)=s^σ			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.1757	-0.00139693				
					0.1758	-0.02638685				
					0.1759	-0.000253327				
					0.176	0.000343153				
					0.1761	0.000919709				
					0.1762	0.001492199				
										
BCC-3										
	s^σ	s^(τ-2)*(P≥s)								
log_2^(s)		0.199	0.1991	0.1992	0.1993	0.1994	0.1995			
0	1	1	1	1	1	1	1			
1	1.368124953	1.060599582	1.060611264	1.060755724	1.061034388	1.061447295	1.060994771			
2	1.871765887	1.10884748	1.108949063	1.109338188	1.109897236	1.110264047	1.110041911			
3	2.560809617	1.140418239	1.141176552	1.141921633	1.142180503	1.143467964	1.143770597			
4	3.503507537	1.16039945	1.161567975	1.162722861	1.163143101	1.165485435	1.165491182			
5	4.793236085	1.171855235	1.17302848	1.175055081	1.176075312	1.179501867	1.178938472			
6	6.557745895	1.176639993	1.178957599	1.182266973	1.183911702	1.188521067	1.188040336			
7	8.971815795	1.177570971	1.181408815	1.186208156	1.188949511	1.194715161	1.19506852			
8	12.27456506	1.176755133	1.181404719	1.187603832	1.191658905	1.200002331	1.202721977			
9	16.79313875	1.17235076	1.179464955	1.187014874	1.194131355	1.205220546	1.209731059			
10	22.97511217	1.165937245	1.176094485	1.186212784	1.196907417	1.211443723	1.21930334			
11	31.43282426	1.155329959	1.170228154	1.184621945	1.200475216	1.219165983	1.231853509			
12	43.00403122	1.140402821	1.162361233	1.182384619	1.204628598	1.22958581	1.248526565			
13	58.8348882	1.121260893	1.151855298	1.178707921	1.209777284	1.243587285	1.27071961			
14	80.49347866	1.094118325	1.136510378	1.174961499	1.216782421	1.263038039	1.301295317			
15	110.1251367	1.056782244	1.114698629	1.170267747	1.226810102	1.288194117	1.342463437			
16	150.6649475	1.006418871	1.084899323	1.163191324	1.241597218	1.323817989	1.39861001			
										
f(s)=s^(τ-2)*(P≥s)		g(s)=s^σ			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.199	-0.001242319				
					0.1991	-0.026761332				
					0.1992	-0.000174555				
					0.1993	0.000364755				
					0.1994	0.000878738				
					0.1995	0.001384974				
										
BCC-13										
	s^σ	s^(τ-2)*(P≥s)								
log_2^(s)		0.1101	0.1102	0.1103	0.1104	0.1105	0.1106	0.1107	0.1108	0.1109
0	1	1	1	1	1	1	1	1	1	1
1	1.368124953	1.029482416	1.029800635	1.029974278	1.0301503	1.030325093	1.030642328	1.030871458	1.03104512	1.03125768
2	1.871765887	1.05809005	1.058747172	1.059129368	1.059853627	1.060287263	1.06114652	1.061558923	1.062024684	1.06250852
3	2.560809617	1.081339273	1.082620233	1.083389493	1.084693422	1.085705338	1.086840655	1.088106799	1.088994038	1.08995107
4	3.503507537	1.09725509	1.099438026	1.101054329	1.102915992	1.104604401	1.106450719	1.108407745	1.110114395	1.111915647
5	4.793236085	1.105935047	1.109218826	1.112277977	1.114930604	1.117832637	1.120576914	1.123668467	1.126120412	1.129308638
6	6.557745895	1.108852789	1.113775002	1.118003883	1.122222119	1.126593341	1.130604683	1.135308317	1.139189094	1.14396433
7	8.971815795	1.106207934	1.113316883	1.119601885	1.125859052	1.13200429	1.138276784	1.145105176	1.150971229	1.158025464
8	12.27456506	1.098901463	1.108501674	1.117668314	1.126931199	1.135823388	1.145070566	1.154510677	1.163182429	1.17305357
9	16.79313875	1.086392086	1.099680246	1.112774083	1.12566166	1.138685374	1.151645247	1.164899123	1.176883621	1.191388033
10	22.97511217	1.067330657	1.085827925	1.104046845	1.122422996	1.14103044	1.158842419	1.177444776	1.194751684	1.214388497
11	31.43282426	1.040501025	1.065939119	1.091386239	1.117216494	1.142730257	1.167932379	1.193907327	1.21838961	1.244932972
12	43.00403122	1.003030636	1.03838408	1.073281061	1.109375236	1.144803395	1.179982665	1.216000569	1.249971862	1.28641933
13	58.8348882	0.952303694	1.000142894	1.048513662	1.098524693	1.147300818	1.19624321	1.245129641	1.293091005	1.342650458
14	80.49347866	0.883536249	0.948788793	1.015430776	1.083335592	1.150592944	1.217770615	1.285420839	1.351217091	1.418463663
15	110.1251367	0.791732104	0.87997419	0.97008902	1.062363979	1.154735021	1.247121048	1.340176756	1.430680369	1.521591726
16	150.6649475	0.67164034	0.787140962	0.90802059	1.033961623	1.161223953	1.288147249	1.414587672	1.537090911	1.658533417
										
f(s)=s^(τ-2)*(P≥s)		g(s)=s^σ			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.1101	-0.002962317				
					0.1102	-0.019416493				
					0.1103	-0.001531049				
					0.1104	-0.000700604				
					0.1105	0.000160063				
					0.1106	0.001011998				
					0.1107	0.001835502				
					0.1108	0.002624841				
					0.1109	0.003377956				
										
BCC-23										
	s^σ	s^(τ-2)*(P≥s)								
log_2^(s)		0.1371	0.1372	0.1373	0.1374	0.1375	0.1376	0.1377	0.1378	
0	1	1	1	1	1	1	1	1	1	
1	1.368124953	1.059717474	1.059976084	1.060203621	1.060253878	1.060494711	1.060612095	1.060703132	1.061017794	
2	1.871765887	1.107153433	1.107734643	1.108316776	1.108521644	1.109201762	1.109605068	1.10985614	1.110656262	
3	2.560809617	1.139066955	1.140231639	1.141261926	1.142117633	1.142948447	1.143741914	1.144453581	1.145598763	
