SC-1										
	s^考	s^(而-2)*(P≡s)								
log_2^(s)		0.3111	0.3112	0.3113	0.3114	0.3115	0.3116	0.3117	0.3118	0.3119
0	1	1	1	1	1	1	1	1	1	1
1	1.368124953	1.018232837	1.018403237	1.018397828	1.018589581	1.018573161	1.018692085	1.018746941	1.018925585	1.019098193
2	1.871765887	1.060534364	1.060964108	1.06102409	1.061432579	1.061532612	1.061856431	1.061960949	1.062347171	1.06251885
3	2.560809617	1.093052003	1.093847393	1.094021992	1.094616085	1.094825373	1.095547006	1.095656478	1.096341202	1.096780808
4	3.503507537	1.11433175	1.115505934	1.115948984	1.116724806	1.117306308	1.118397999	1.118627822	1.119595876	1.120386156
5	4.793236085	1.127229209	1.12878172	1.129689005	1.130778628	1.131895718	1.133378762	1.134113521	1.135503022	1.136627637
6	6.557745895	1.133645889	1.135726995	1.137287726	1.139167115	1.140527505	1.14287189	1.144056081	1.145965132	1.147881509
7	8.971815795	1.134984511	1.138052798	1.140485701	1.143150647	1.145343531	1.148538748	1.150554936	1.153202438	1.156053765
8	12.27456506	1.132537249	1.136758018	1.140247238	1.144202468	1.147532443	1.151729417	1.154994394	1.158785591	1.162732609
9	16.79313875	1.126305624	1.131993222	1.137491961	1.142892303	1.14771136	1.153314722	1.158300002	1.163669506	1.168990202
10	22.97511217	1.116280805	1.124085536	1.131833043	1.139233372	1.14635626	1.154245251	1.161021194	1.168573062	1.176277707
11	31.43282426	1.101675028	1.112311284	1.123007966	1.133264728	1.14346781	1.15434187	1.1640711	1.174553579	1.185405085
12	43.00403122	1.081202226	1.095789098	1.110549613	1.124898085	1.139271672	1.154012196	1.168181777	1.182439727	1.197395149
13	58.8348882	1.052778699	1.073121306	1.093372616	1.113138044	1.133281022	1.153609544	1.17348097	1.19322114	1.21351808
14	80.49347866	1.014113527	1.042182346	1.069903305	1.096930277	1.124881244	1.152890499	1.180597757	1.207746306	1.235583449
15	110.1251367	0.961928223	0.999822666	1.037448517	1.075384958	1.113481418	1.151781097	1.190019724	1.228101926	1.265883123
16	150.6649475	0.891724829	0.942508711	0.993627954	1.045514978	1.097796673	1.150297962	1.203145326	1.255505997	1.307509662
										
f(s)=s^(而-2)*(P≡s)		g(s)=s^考			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.3111	-0.001731715				
					0.3112	-0.023248967				
					0.3113	-0.001080927				
					0.3114	-0.000736806				
					0.3115	-0.000386897				
					0.3116	-3.65847E-05				
					0.3117	0.000323771				
					0.3118	0.000675979				
					0.3119	0.001026806				
										
SC-2										
	s^考	s^(而-2)*(P≡s)								
log_2^(s)		0.199	0.1991	0.1992	0.1993	0.1994				
0	1	1	1	1	1	1				
1	1.368124953	1.060598511	1.060524891	1.06051729	1.060778918	1.061085871				
2	1.871765887	1.108797672	1.108953013	1.109113509	1.109597196	1.110037586				
3	2.560809617	1.140467876	1.141276805	1.141635832	1.142286103	1.143214291				
4	3.503507537	1.160325305	1.161500208	1.162349494	1.163327279	1.165121719				
5	4.793236085	1.171554028	1.172911427	1.175081525	1.176138699	1.178756874				
6	6.557745895	1.17650532	1.179378729	1.182276987	1.184212037	1.187676952				
7	8.971815795	1.177744589	1.181662284	1.186504812	1.189278099	1.193864976				
8	12.27456506	1.176433326	1.181800679	1.188156064	1.192238201	1.199007441				
9	16.79313875	1.171983837	1.17986916	1.188050397	1.194836664	1.203957381				
10	22.97511217	1.165030379	1.175878247	1.187688633	1.197227135	1.209719008				
11	31.43282426	1.153925927	1.169943556	1.186231319	1.200373643	1.216909008				
12	43.00403122	1.13937624	1.161372511	1.184618484	1.204448803	1.227231646				
13	58.8348882	1.119612296	1.150054231	1.181163519	1.209745682	1.24102382				
14	80.49347866	1.092532983	1.135137702	1.177740344	1.216768301	1.259603556				
15	110.1251367	1.056077096	1.113693932	1.172428219	1.226549232	1.28497755				
16	150.6649475	1.006008426	1.084555325	1.164464744	1.24037942	1.319831987				
										
f(s)=s^(而-2)*(P≡s)		g(s)=s^考			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.199	-0.001235049				
					0.1991	-0.026752846				
					0.1992	-0.000196436				
					0.1993	0.000341151				
					0.1994	0.000859758				
										
SC-12										
	s^考	s^(而-2)*(P≡s)								
log_2^(s)		0.1371	0.1372	0.1373	0.1374	0.1375				
0	1	1	1	1	1	1				
1	1.368124953	1.059752422	1.059957965	1.060133649	1.06028392	1.060467959				
2	1.871765887	1.107193964	1.107717574	1.108257827	1.108589199	1.109135114				
3	2.560809617	1.139167628	1.140135922	1.141159272	1.142167986	1.142847632				
4	3.503507537	1.159273304	1.160852629	1.162527958	1.164198929	1.1657106				
5	4.793236085	1.170862995	1.173323466	1.17575409	1.178422345	1.18070137				
6	6.557745895	1.176398865	1.180261943	1.183650028	1.18775399	1.191198371				
7	8.971815795	1.177580193	1.182815513	1.18809458	1.193945235	1.199135321				
8	12.27456506	1.174925883	1.182704297	1.190376665	1.198788861	1.206391411				
9	16.79313875	1.169649972	1.180652998	1.191643563	1.203302667	1.21427287				
